NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 9409, Santa Fe County, New Mexico",23,52,18,3,0,0,0,0,0,75,99,0,0,0,0,0,0,79,39,18,112,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,42,35,049,940900,2018
"Census Tract 9800, Santa Fe County, New Mexico",877,45,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,980000,2018
"Census Tract 9622, Sierra County, New Mexico",122,312,32,0,0,0,0,0,0,3,0,0,0,0,0,0,0,219,187,20,368,108,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,35,051,962200,2018
"Census Tract 9623, Sierra County, New Mexico",137,46,32,19,0,0,0,0,0,0,22,0,0,0,0,0,0,262,94,50,223,117,5,0,0,1,0,0,0,0,4,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,9,0,35,051,962300,2018
"Census Tract 9624.02, Sierra County, New Mexico",0,0,0,0,0,0,0,0,0,37,35,0,0,0,0,0,0,192,169,24,142,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,35,051,962402,2018
"Census Tract 9400, Taos County, New Mexico",0,334,27,0,0,0,0,4,0,10,0,0,0,0,0,0,0,75,68,18,80,72,0,0,0,0,0,0,45,6,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,35,055,940000,2018
"Census Tract 9401, Taos County, New Mexico",86,1518,16,7,0,0,0,0,0,185,0,5,0,0,0,0,0,423,150,46,767,182,0,0,0,0,0,0,58,43,21,87,51,26,0,0,0,0,0,0,0,0,0,0,0,0,27,6,35,055,940100,2018
"Census Tract 9636, Torrance County, New Mexico",473,42,0,0,0,0,0,0,0,80,109,0,0,0,0,0,0,400,219,41,392,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,057,963600,2018
"Census Tract 9502, Union County, New Mexico",640,92,61,0,0,0,0,0,0,87,5,0,0,2,0,0,0,173,105,43,221,146,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,35,059,950200,2018
"Census Tract 1.07, Bernalillo County, New Mexico",0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,115,9,222,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,001,000107,2018
"Census Tract 1.12, Bernalillo County, New Mexico",0,14,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,121,69,5,109,121,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,7,5,0,0,0,0,0,0,0,0,0,35,001,000112,2018
"Census Tract 2.03, Bernalillo County, New Mexico",0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,63,26,16,89,33,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,000203,2018
"Census Tract 4.02, Bernalillo County, New Mexico",8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,49,53,142,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,14,35,001,000402,2018
"Census Tract 7.04, Bernalillo County, New Mexico",0,158,0,0,0,0,0,0,0,0,0,0,0,14,26,0,0,100,103,5,76,72,0,0,8,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,35,001,000704,2018
