NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 1, Census Tract 3, Chaves County, New Mexico",1205,13,0,0,0,0,21,21,0,1226,13,0,0,0,21,507,732,1079,109,20,35,005,000300,1,2018
"Block Group 1, Census Tract 18.02, Doña Ana County, New Mexico",999,42,0,0,0,146,33,0,33,1032,75,0,0,0,146,1158,62,764,0,8,35,013,001802,1,2018
"Block Group 3, Census Tract 9589, Quay County, New Mexico",447,0,0,0,0,0,26,0,26,473,0,14,12,0,0,71,402,397,17,14,35,037,958900,3,2018
"Block Group 2, Census Tract 8, Eddy County, New Mexico",1084,0,110,0,0,14,4,0,4,1088,0,114,0,0,14,915,297,957,12,6,35,015,000800,2,2018
"Block Group 1, Census Tract 110, Sandoval County, New Mexico",367,0,658,0,0,95,6,6,0,373,0,658,0,0,101,394,732,784,13,9,35,043,011000,1,2018
"Block Group 2, Census Tract 7.06, San Juan County, New Mexico",576,0,0,0,0,110,72,14,58,648,0,58,0,0,135,304,454,673,16,0,35,045,000706,2,2018
"Block Group 3, Census Tract 17, Bernalillo County, New Mexico",988,43,0,0,0,138,66,13,53,1054,43,20,33,0,151,350,885,1075,0,0,35,001,001700,3,2018
"Block Group 1, Census Tract 2.02, San Juan County, New Mexico",2174,0,243,24,0,10,139,0,139,2313,92,300,60,23,37,354,2236,1853,51,35,35,045,000202,1,2018
"Block Group 5, Census Tract 1, Curry County, New Mexico",144,65,48,4,0,273,158,9,149,293,209,67,4,9,282,364,328,529,0,0,35,009,000100,5,2018
"Block Group 4, Census Tract 37.28, Bernalillo County, New Mexico",485,0,220,37,0,52,106,0,106,591,0,280,83,0,52,304,596,787,7,7,35,001,003728,4,2018
"Block Group 4, Census Tract 107.16, Sandoval County, New Mexico",1904,27,80,76,0,393,55,0,55,1959,51,111,93,0,393,1215,1320,2172,72,87,35,043,010716,4,2018
"Block Group 2, Census Tract 7.04, Bernalillo County, New Mexico",846,0,5,0,0,0,0,0,0,846,0,5,0,0,0,407,444,705,0,0,35,001,000704,2,2018
