NAME,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,county,tract,YEAR
"Census Tract 47.35, Bernalillo County, New Mexico",0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,9,89,31,13,35,001,004735,2015
"Census Tract 47.36, Bernalillo County, New Mexico",0,11,0,0,0,0,0,0,0,0,11,0,0,0,13,0,0,0,0,19,0,0,35,001,004736,2015
"Census Tract 47.33, Bernalillo County, New Mexico",0,35,0,0,0,0,0,0,0,0,0,0,0,23,30,22,78,78,0,94,43,46,35,001,004733,2015
"Census Tract 47.37, Bernalillo County, New Mexico",0,13,0,0,16,9,0,0,7,0,43,12,0,20,7,0,46,23,0,41,20,0,35,001,004737,2015
"Census Tract 47.38, Bernalillo County, New Mexico",0,17,0,0,0,0,0,0,0,0,37,14,0,0,15,0,16,11,0,48,0,0,35,001,004738,2015
"Census Tract 47.39, Bernalillo County, New Mexico",0,50,0,0,0,0,0,0,0,0,17,0,0,65,34,0,122,15,0,96,13,0,35,001,004739,2015
"Census Tract 47.40, Bernalillo County, New Mexico",0,65,55,0,22,0,0,0,0,0,57,11,0,29,0,0,115,0,0,113,127,0,35,001,004740,2015
"Census Tract 47.41, Bernalillo County, New Mexico",57,88,43,53,26,0,0,0,0,53,30,13,0,60,54,0,148,0,57,166,54,117,35,001,004741,2015
"Census Tract 47.42, Bernalillo County, New Mexico",0,10,0,0,14,11,0,10,11,0,77,19,0,101,0,0,77,75,0,70,45,72,35,001,004742,2015
"Census Tract 9586.02, Quay County, New Mexico",0,0,0,17,14,0,0,11,13,0,118,52,11,77,12,14,81,36,10,91,50,26,35,037,958602,2015
"Census Tract 9586.01, Quay County, New Mexico",2,20,0,0,9,0,0,0,0,0,73,91,10,134,128,13,56,22,6,43,31,15,35,037,958601,2015
"Census Tract 9, Chaves County, New Mexico",0,0,0,0,0,0,0,15,0,0,118,54,25,124,97,39,59,0,0,0,0,32,35,005,000900,2015
"Census Tract 12, Chaves County, New Mexico",0,0,0,0,0,0,0,0,3,0,63,20,4,69,6,11,0,0,10,0,8,7,35,005,001200,2015
"Census Tract 11.07, Santa Fe County, New Mexico",0,36,13,0,0,0,0,0,0,0,181,57,0,109,97,59,93,58,0,170,54,46,35,049,001107,2015
"Census Tract 103.04, Santa Fe County, New Mexico",0,0,0,0,0,12,0,0,0,0,233,55,6,154,55,0,131,6,6,71,12,12,35,049,010304,2015
"Census Tract 10.02, Santa Fe County, New Mexico",0,9,33,0,8,0,0,0,0,7,115,8,7,74,26,30,49,39,8,87,104,25,35,049,001002,2015
"Census Tract 104, Santa Fe County, New Mexico",0,0,0,0,14,0,0,0,0,0,191,80,15,220,154,34,52,21,16,16,12,0,35,049,010400,2015
"Census Tract 11.03, Santa Fe County, New Mexico",0,14,0,0,0,0,0,0,0,0,36,10,0,42,6,16,55,6,0,83,15,21,35,049,001103,2015
"Census Tract 6, Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,0,136,11,18,124,51,0,8,23,0,29,0,19,35,049,000600,2015
"Census Tract 1, Harding County, New Mexico",0,0,0,0,0,0,0,0,1,0,27,13,14,26,11,4,21,6,5,5,7,3,35,021,000100,2015
"Census Tract 9552, Mora County, New Mexico",51,135,73,2,0,0,0,0,15,0,49,57,6,87,23,19,210,108,52,186,212,6,35,033,955200,2015
